Country_ID	Country_Name	Country_Code	Assign_to
1	Afghanistan	AFG	NA
2	Aland	ALA	Finland
3	Albania	ALB	NA
4	Algeria	DZA	NA
6	Andorra	AND	NA
7	Angola	AGO	NA
8	Anguilla	AIA	United Kingdom
10	Antigua and Barbuda	ATG	NA
11	Argentina	ARG	NA
12	Armenia	ARM	NA
13	Aruba	ABW	NA
14	Australia	AUS	NA
15	Austria	AUT	NA
16	Azerbaijan	AZE	NA
17	Bahamas	BHS	NA
18	Bahrain	BHR	NA
19	Bangladesh	BGD	NA
20	Barbados	BRB	NA
21	Belarus	BLR	NA
22	Belgium	BEL	NA
23	Belize	BLZ	NA
24	Benin	BEN	NA
26	Bhutan	BTN	NA
27	Bolivia	BOL	NA
28	Bonaire, Saint Eustatius and Saba	BES	Netherlands
29	Bosnia and Herzegovina	BIH	NA
30	Botswana	BWA	NA
32	Brazil	BRA	NA
34	British Virgin Islands	VGB	United Kingdom
35	Brunei	BRN	NA
36	Bulgaria	BGR	NA
37	Burkina Faso	BFA	NA
38	Burundi	BDI	NA
39	Cambodia	KHM	NA
40	Cameroon	CMR	NA
41	Canada	CAN	NA
44	Cayman Islands	CYM	NA
45	Central African Republic	CAF	NA
46	Chad	TCD	NA
47	Chile	CHL	NA
48	China	CHN	NA
50	Clipperton Island	CL-	France
52	Colombia	COL	NA
53	Comoros	COM	NA
55	Costa Rica	CRI	NA
56	Cote d'Ivoire	CIV	NA
57	Croatia	HRV	NA
58	Cuba	CUB	NA
59	Curacao	CUW	NA
60	Cyprus	CYP	NA
61	Czech Republic	CZE	NA
62	Democratic Republic of the Congo	COD	NA
63	Denmark	DNK	NA
64	Djibouti	DJI	NA
65	Dominica	DMA	NA
66	Dominican Republic	DOM	NA
67	East Timor	TLS	NA
68	Ecuador	ECU	NA
69	Egypt	EGY	NA
70	El Salvador	SLV	NA
71	Equatorial Guinea	GNQ	NA
72	Eritrea	ERI	NA
73	Estonia	EST	NA
74	Ethiopia	ETH	NA
75	Falkland Islands	FLK	United Kingdom
76	Faroe Islands	FRO	NA
77	Fiji	FJI	NA
78	Finland	FIN	NA
79	France	FRA	NA
80	French Guiana	GUF	France
82	French Southern Territories	ATF	France
83	Gabon	GAB	NA
84	Gambia	GMB	NA
85	Georgia	GEO	NA
86	Germany	DEU	NA
87	Ghana	GHA	NA
88	Gibraltar	GIB	United Kingdom
89	Greece	GRC	NA
90	Greenland	GRL	NA
91	Grenada	GRD	NA
92	Guadeloupe	GLP	France
93	Guam	GUM	NA
94	Guatemala	GTM	NA
95	Guernsey	GGY	United Kingdom
96	Guinea	GIN	NA
97	Guinea-Bissau	GNB	NA
98	Guyana	GUY	NA
99	Haiti	HTI	NA
101	Honduras	HND	NA
102	Hong Kong	HKG	NA
103	Hungary	HUN	NA
104	Iceland	ISL	NA
105	India	IND	NA
106	Indonesia	IDN	NA
107	Iran	IRN	NA
108	Iraq	IRQ	NA
109	Ireland	IRL	NA
110	Isle of Man	IMN	NA
111	Israel	ISR	NA
112	Italy	ITA	NA
113	Jamaica	JAM	NA
114	Japan	JPN	NA
115	Jersey	JEY	United Kingdom
116	Jordan	JOR	NA
117	Kazakhstan	KAZ	NA
118	Kenya	KEN	NA
119	Kiribati	KIR	NA
120	Kosovo	KO-	NA
121	Kuwait	KWT	NA
122	Kyrgyzstan	KGZ	NA
123	Laos	LAO	NA
124	Latvia	LVA	NA
125	Lebanon	LBN	NA
126	Lesotho	LSO	NA
127	Liberia	LBR	NA
128	Libya	LBY	NA
129	Liechtenstein	LIE	NA
130	Lithuania	LTU	NA
131	Luxembourg	LUX	NA
132	Macao	MAC	NA
133	Macedonia	MKD	NA
134	Madagascar	MDG	NA
135	Malawi	MWI	NA
136	Malaysia	MYS	NA
138	Mali	MLI	NA
139	Malta	MLT	NA
140	Marshall Islands	MHL	NA
141	Martinique	MTQ	France
142	Mauritania	MRT	NA
144	Mayotte	MYT	France
145	Mexico	MEX	NA
146	Micronesia	FSM	NA
147	Moldova	MDA	NA
148	Monaco	MCO	NA
149	Mongolia	MNG	NA
150	Montenegro	MNE	NA
151	Montserrat	MSR	United Kingdom
152	Morocco	MAR	NA
153	Mozambique	MOZ	NA
154	Myanmar	MMR	NA
155	Namibia	NAM	NA
156	Nauru	NRU	NA
157	Nepal	NPL	NA
158	Netherlands	NLD	NA
159	New Caledonia	NCL	NA
160	New Zealand	NZL	NA
161	Nicaragua	NIC	NA
162	Niger	NER	NA
163	Nigeria	NGA	NA
165	Norfolk Island	NFK	Australia
166	North Korea	PRK	NA
167	Northern Mariana Islands	MNP	NA
168	Norway	NOR	NA
169	Oman	OMN	NA
170	Pakistan	PAK	NA
171	Palau	PLW	NA
172	Palestina	PSE	NA
173	Panama	PAN	NA
174	Papua New Guinea	PNG	NA
175	Paraguay	PRY	NA
176	Peru	PER	NA
177	Philippines	PHL	NA
179	Poland	POL	NA
180	Portugal	PRT	NA
181	Puerto Rico	PRI	NA
182	Qatar	QAT	NA
183	Republic of Congo	COG	NA
185	Romania	ROU	NA
186	Russia	RUS	NA
187	Rwanda	RWA	NA
189	Saint Kitts and Nevis	KNA	NA
190	Saint Lucia	LCA	NA
191	Saint Pierre and Miquelon	SPM	France
192	Saint Vincent and the Grenadines	VCT	NA
193	Saint-Barthelemy	BLM	France
194	Saint-Martin	MAF	NA
196	San Marino	SMR	NA
197	Sao Tome and Principe	STP	NA
198	Saudi Arabia	SAU	NA
199	Senegal	SEN	NA
200	Serbia	SRB	NA
201	Seychelles	SYC	NA
202	Sierra Leone	SLE	NA
203	Singapore	SGP	NA
204	Sint Maarten	SMX	Netherlands
205	Slovakia	SVK	NA
206	Slovenia	SVN	NA
207	Solomon Islands	SLB	NA
208	Somalia	SOM	NA
209	South Africa	ZAF	NA
211	South Korea	KOR	NA
212	South Sudan	SSD	NA
213	Spain	ESP	NA
214	Spratly islands	SP-	NA
215	Sri Lanka	LKA	NA
216	Sudan	SDN	NA
217	Suriname	SUR	NA
218	Svalbard and Jan Mayen	SJM	Norway
219	Swaziland	SWZ	NA
220	Sweden	SWE	NA
221	Switzerland	CHE	NA
222	Syria	SYR	NA
223	Taiwan	TWN	NA
224	Tajikistan	TJK	NA
225	Tanzania	TZA	NA
226	Thailand	THA	NA
227	Togo	TGO	NA
230	Trinidad and Tobago	TTO	NA
231	Tunisia	TUN	NA
232	Turkey	TUR	NA
233	Turkmenistan	TKM	NA
234	Turks and Caicos Islands	TCA	NA
235	Tuvalu	TUV	NA
236	Uganda	UGA	NA
237	Ukraine	UKR	NA
238	United Arab Emirates	ARE	NA
239	United Kingdom	GBR	NA
240	United States	USA	NA
241	United States Minor Outlying Islands	UMI	United States of America
242	Uruguay	URY	NA
243	Uzbekistan	UZB	NA
244	Vanuatu	VUT	NA
245	Vatican City	VAT	NA
246	Venezuela	VEN	NA
247	Vietnam	VNM	NA
248	Virgin Islands, U.S.	VIR	NA
250	Western Sahara	ESH	NA
251	Yemen	YEM	NA
252	Zambia	ZMB	NA
253	Zimbabwe	ZWE	NA
