slug	title
aegean-and-western-turkey-sclerophyllous-and-mixed-forests	Aegean and Western Turkey Sclerophyllous and Mixed Forests
alps-conifer-and-mixed-forests	Alps Conifer and Mixed Forests
anatolian-conifer-and-deciduous-mixed-forests	Anatolian Conifer and Deciduous Mixed Forests
balkan-mixed-forests	Balkan Mixed Forests
baltic-mixed-forests	Baltic Mixed Forests
caledon-conifer-forests	Caledon Conifer Forests
cantabrian-mixed-forests	Cantabrian Mixed Forests
carpathian-montane-forests	Carpathian Montane Forests
celtic-broadleaf-forests	Celtic Broadleaf Forests
central-anatolian-steppe	Central Anatolian Steppe
central-anatolian-steppe-and-woodlands	Central Anatolian Steppe and Woodlands
central-european-mixed-forests	Central European Mixed Forests
cherskii-kolyma-mountain-tundra	Cherskii-Kolyma Mountain Tundra
chukchi-peninsula-tundra	Chukchi Peninsula Tundra
crimean-submediterranean-forest-complex	Crimean Submediterranean Forest Complex
cross-timbers-savanna-woodland	Cross-Timbers Savanna-Woodland
cyprus-mediterranean-forests	Cyprus Mediterranean Forests
dinaric-mountains-mixed-forests	Dinaric Mountains Mixed Forests
east-european-forest-steppe	East European Forest Steppe
east-siberian-taiga	East Siberian Taiga
eastern-anatolian-deciduous-forests	Eastern Anatolian Deciduous Forests
eastern-mediterranean-conifer-broadleaf-forests	Eastern Mediterranean Conifer-Broadleaf Forests
english-lowlands-beech-forests	English Lowlands Beech Forests
european-atlantic-mixed-forests	European Atlantic Mixed Forests
euxine-colchic-broadleaf-forests	Euxine-Colchic Broadleaf Forests
faroe-islands-boreal-grasslands	Faroe Islands Boreal Grasslands
kamchatka-tundra	Kamchatka Tundra
kola-peninsula-tundra	Kola Peninsula Tundra
north-atlantic-moist-mixed-forests	North Atlantic Moist Mixed Forests
northeast-siberian-taiga	Northeast Siberian Taiga
northern-anatolian-conifer-and-deciduous-forests	Northern Anatolian Conifer and Deciduous Forests
po-basin-mixed-forests	Po Basin Mixed Forests
pontic-steppe	Pontic Steppe
pyrenees-conifer-and-mixed-forests	Pyrenees Conifer and Mixed Forests
rodope-montane-mixed-forests	Rodope Montane Mixed Forests
sarmatic-mixed-forests	Sarmatic Mixed Forests
scandinavian-coastal-conifer-forests	Scandinavian Coastal Conifer Forests
western-european-broadleaf-forests	Western European Broadleaf Forests
wrangel-island-arctic-desert	Wrangel Island Arctic Desert
yellow-sea-saline-meadow	Yellow Sea Saline Meadow
adelie-land-tundra	Adelie Land Tundra
admiralty-islands-lowland-rainforests	Admiralty Islands Lowland Rainforests
afghan-mountains-semi-desert	Afghan Mountains Semi-Desert
ahklun-and-kilbuck-upland-tundra	Ahklun and Kilbuck Upland Tundra
al-hajar-foothill-xeric-woodlands-and-shrublands	Al-Hajar Foothill Xeric Woodlands and Shrublands
al-hajar-montane-woodlands-and-shrublands	Al-Hajar Montane Woodlands and Shrublands
alai-western-tian-shan-steppe	Alai-Western Tian Shan Steppe
alashan-plateau-semi-desert	Alashan Plateau Semi-Desert
alaska-peninsula-montane-taiga	Alaska Peninsula Montane Taiga
alaska-st-elias-range-tundra	Alaska-St. Elias Range Tundra
albany-thickets	Albany Thickets
alberta-british-columbia-foothills-forests	Alberta-British Columbia Foothills Forests
albertine-rift-montane-forests	Albertine Rift Montane Forests
aldabra-island-xeric-scrub	Aldabra Island Xeric Scrub
aleutian-islands-tundra	Aleutian Islands Tundra
allegheny-highlands-forests	Allegheny Highlands Forests
altai-alpine-meadow-and-tundra	Altai Alpine Meadow and Tundra
altai-montane-forest-and-forest-steppe	Altai Montane Forest and Forest Steppe
altai-steppe-and-semi-desert	Altai Steppe and Semi-Desert
alto-parana-atlantic-forests	Alto Paraná Atlantic Forests
amazon-orinoco-southern-caribbean-mangroves	Amazon-Orinoco-Southern Caribbean Mangroves
amsterdam-saint-paul-islands-temperate-grasslands	Amsterdam-Saint Paul Islands Temperate Grasslands
amur-meadow-steppe	Amur Meadow Steppe
andaman-islands-rainforests	Andaman Islands Rainforests
angolan-montane-forest-grassland	Angolan Montane Forest-Grassland
angolan-mopane-woodlands	Angolan Mopane Woodlands
angolan-scarp-savanna-and-woodlands	Angolan Scarp Savanna and Woodlands
angolan-wet-miombo-woodlands	Angolan Wet Miombo Woodlands
antipodes-subantarctic-islands-tundra	Antipodes Subantarctic Islands Tundra
appalachian-mixed-mesophytic-forests	Appalachian Mixed Mesophytic Forests
appalachian-piedmont-forests	Appalachian Piedmont Forests
appalachian-blue-ridge-forests	Appalachian-Blue Ridge forests
appenine-deciduous-montane-forests	Appenine Deciduous Montane Forests
apure-villavicencio-dry-forests	Apure-Villavicencio Dry Forests
arabian-desert	Arabian Desert
arabian-sand-desert	Arabian Sand Desert
arabian-persian-gulf-coastal-plain-desert	Arabian-Persian Gulf Coastal Plain Desert
araucaria-moist-forests	Araucaria Moist Forests
aravalli-west-thorn-scrub-forests	Aravalli West Thorn Scrub Forests
araya-and-paria-xeric-scrub	Araya and Paria Xeric Scrub
arctic-coastal-tundra	Arctic Coastal Tundra
arctic-foothills-tundra	Arctic Foothills Tundra
arizona-mountains-forests	Arizona Mountains Forests
arnhem-land-tropical-savanna	Arnhem Land Tropical Savanna
ascension-scrub-and-grasslands	Ascension Scrub and Grasslands
atacama-desert	Atacama Desert
atlantic-coast-restingas	Atlantic Coast Restingas
atlantic-coastal-pine-barrens	Atlantic Coastal Pine Barrens
australian-alps-montane-grasslands	Australian Alps Montane Grasslands
azerbaijan-shrub-desert-and-steppe	Azerbaijan Shrub Desert and Steppe
azores-temperate-mixed-forests	Azores Temperate Mixed Forests
badghyz-and-karabil-semi-desert	Badghyz and Karabil Semi-Desert
bahamian-pineyards	Bahamian Pineyards
bahamian-antillean-mangroves	Bahamian-Antillean Mangroves
bahia-coastal-forests	Bahia Coastal Forests
bahia-interior-forests	Bahía Interior Forests
baja-california-desert	Baja California Desert
bajio-dry-forests	Bajío Dry Forests
balsas-dry-forests	Balsas Dry Forests
baluchistan-xeric-woodlands	Baluchistan Xeric Woodlands
banda-sea-islands-moist-deciduous-forests	Banda Sea Islands Moist Deciduous Forests
belizian-pine-savannas	Belizian Pine Savannas
beni-savanna	Beni Savanna
beringia-lowland-tundra	Beringia Lowland Tundra
beringia-upland-tundra	Beringia Upland Tundra
bermuda-subtropical-conifer-forests	Bermuda Subtropical Conifer Forests
biak-numfoor-rainforests	Biak-Numfoor Rainforests
blue-mountains-forests	Blue Mountains Forests
bohai-sea-saline-meadow	Bohai Sea Saline Meadow
bolivian-montane-dry-forests	Bolivian Montane Dry Forests
bolivian-yungas	Bolivian Yungas
borneo-lowland-rainforests	Borneo Lowland Rainforests
borneo-montane-rainforests	Borneo Montane Rainforests
borneo-peat-swamp-forests	Borneo Peat Swamp Forests
brahmaputra-valley-semi-evergreen-forests	Brahmaputra Valley Semi-Evergreen Forests
brazilian-atlantic-dry-forests	Brazilian Atlantic Dry Forests
brigalow-tropical-savanna	Brigalow Tropical Savanna
british-columbia-coastal-conifer-forests	British Columbia Coastal Conifer Forests
brooks-british-range-tundra	Brooks-British Range tundra
buru-rainforests	Buru Rainforests
caatinga	Caatinga
caatinga-enclaves-moist-forests	Caatinga Enclaves Moist Forests
california-central-valley-grasslands	California Central Valley Grasslands
california-coastal-sage-and-chaparral	California Coastal Sage and Chaparral
california-interior-chaparral-and-woodlands	California Interior Chaparral and Woodlands
california-montane-chaparral-and-woodlands	California Montane Chaparral and Woodlands
cameroon-highlands-forests	Cameroon Highlands Forests
campos-rupestres-montane-savanna	Campos Rupestres Montane Savanna
canadian-aspen-forests-and-parklands	Canadian Aspen Forests and Parklands
canadian-high-arctic-tundra	Canadian High Arctic Tundra
canadian-low-arctic-tundra	Canadian Low Arctic Tundra
canadian-middle-arctic-tundra	Canadian Middle Arctic Tundra
canary-islands-dry-woodlands-and-forests	Canary Islands Dry Woodlands and Forests
canterbury-otago-tussock-grasslands	Canterbury-Otago Tussock Grasslands
cape-verde-islands-dry-forests	Cape Verde Islands Dry Forests
cape-york-peninsula-tropical-savanna	Cape York Peninsula Tropical Savanna
caqueta-moist-forests	Caqueta Moist Forests
cardamom-mountains-rainforests	Cardamom Mountains Rainforests
caribbean-shrublands	Caribbean Shrublands
carnarvon-xeric-shrublands	Carnarvon Xeric Shrublands
carolines-tropical-moist-forests	Carolines Tropical Moist Forests
carpentaria-tropical-savanna	Carpentaria Tropical Savanna
caspian-hyrcanian-mixed-forests	Caspian Hyrcanian Mixed Forests
caspian-lowland-desert	Caspian Lowland Desert
catatumbo-moist-forests	Catatumbo Moist Forests
cauca-valley-dry-forests	Cauca Valley Dry Forests
cauca-valley-montane-forests	Cauca Valley Montane Forests
caucasus-mixed-forests	Caucasus Mixed Forests
cayos-miskitos-san-andres-and-providencia-moist-forests	Cayos Miskitos-San Andrés and Providencia Moist Forests
central-afghan-mountains-xeric-woodlands	Central Afghan Mountains Xeric Woodlands
central-african-mangroves	Central African Mangroves
central-american-atlantic-moist-forests	Central American Atlantic Moist Forests
central-american-dry-forests	Central American Dry Forests
central-american-montane-forests	Central American Montane Forests
central-american-pine-oak-forests	Central American Pine-Oak Forests
central-andean-dry-puna	Central Andean Dry Puna
central-andean-puna	Central Andean Puna
central-andean-wet-puna	Central Andean Wet Puna
central-asian-northern-desert	Central Asian Northern Desert
central-asian-riparian-woodlands	Central Asian Riparian Woodlands
central-asian-southern-desert	Central Asian Southern Desert
central-british-columbia-mountain-forests	Central British Columbia Mountain Forests
central-bushveld	Central Bushveld
central-canadian-shield-forests	Central Canadian Shield Forests
central-china-loess-plateau-mixed-forests	Central China Loess Plateau Mixed Forests
central-congolian-lowland-forests	Central Congolian Lowland Forests
central-deccan-plateau-dry-deciduous-forests	Central Deccan Plateau Dry Deciduous Forests
central-indochina-dry-forests	Central Indochina Dry Forests
central-korean-deciduous-forests	Central Korean Deciduous Forests
central-mexican-matorral	Central Mexican Matorral
central-pacific-northwest-coastal-forests	Central Pacific Northwest Coastal Forests
central-persian-desert-basins	Central Persian Desert Basins
central-polynesian-tropical-moist-forests	Central Polynesian Tropical Moist Forests
central-range-papuan-montane-rainforests	Central Range Papuan Montane Rainforests
central-ranges-xeric-scrub	Central Ranges Xeric Scrub
central-south-antarctic-peninsula-tundra	Central South Antarctic Peninsula Tundra
central-tallgrass-prairie	Central Tallgrass Prairie
central-tibetan-plateau-alpine-steppe	Central Tibetan Plateau Alpine Steppe
central-us-forest-grasslands-transition	Central US Forest-Grasslands Transition
central-zambezian-wet-miombo-woodlands	Central Zambezian Wet Miombo Woodlands
central-southern-cascades-forests	Central-Southern Cascades Forests
central-southern-us-mixed-grasslands	Central-Southern US Mixed Grasslands
cerrado	Cerrado
changbai-mountains-mixed-forests	Changbai Mountains Mixed Forests
changjiang-plain-evergreen-forests	Changjiang Plain Evergreen Forests
chao-phraya-freshwater-swamp-forests	Chao Phraya Freshwater Swamp Forests
chao-phraya-lowland-moist-deciduous-forests	Chao Phraya Lowland Moist Deciduous Forests
chatham-island-temperate-forests	Chatham Island Temperate Forests
chhota-nagpur-dry-deciduous-forests	Chhota-Nagpur Dry Deciduous Forests
chiapas-depression-dry-forests	Chiapas Depression Dry Forests
chiapas-montane-forests	Chiapas Montane Forests
chihuahuan-desert	Chihuahuan Desert
chilean-matorral	Chilean Matorral
chimalapas-montane-forests	Chimalapas Montane Forests
chin-hills-arakan-yoma-montane-forests	Chin Hills-Arakan Yoma Montane Forests
chiquitano-dry-forests	Chiquitano Dry Forests
choco-darien-moist-forests	Chocó-Darién Moist Forests
christmas-and-cocos-islands-tropical-forests	Christmas and Cocos Islands Tropical Forests
clipperton-island-shrub-and-grasslands	Clipperton Island Shrub and Grasslands
cocos-island-moist-forests	Cocos Island Moist Forests
colorado-plateau-shrublands	Colorado Plateau Shrublands
colorado-rockies-forests	Colorado Rockies Forests
comoros-forests	Comoros Forests
congolian-coastal-forests	Congolian Coastal Forests
cook-inlet-taiga	Cook Inlet Taiga
cook-islands-tropical-moist-forests	Cook Islands Tropical Moist Forests
coolgardie-woodlands	Coolgardie Woodlands
copper-plateau-taiga	Copper Plateau Taiga
cordillera-central-paramo	Cordillera Central Páramo
cordillera-de-merida-paramo	Cordillera De Merida Páramo
cordillera-oriental-montane-forests	Cordillera Oriental Montane Forests
cordillera-de-la-costa-montane-forests	Cordillera de la Costa Montane Forests
corsican-montane-broadleaf-and-mixed-forests	Corsican Montane Broadleaf and Mixed Forests
costa-rican-seasonal-moist-forests	Costa Rican Seasonal Moist Forests
crete-mediterranean-forests	Crete Mediterranean Forests
cross-niger-transition-forests	Cross-Niger Transition Forests
cross-sanaga-bioko-coastal-forests	Cross-Sanaga-Bioko Coastal Forests
cuban-cactus-scrub	Cuban Cactus Scrub
cuban-dry-forests	Cuban Dry Forests
cuban-moist-forests	Cuban Moist Forests
cuban-pine-forests	Cuban Pine Forests
cuban-wetlands	Cuban Wetlands
da-hinggan-dzhagdy-mountains-conifer-forests	Da Hinggan-Dzhagdy Mountains Conifer Forests
daba-mountains-evergreen-forests	Daba Mountains Evergreen Forests
daurian-forest-steppe	Daurian Forest Steppe
davis-highlands-tundra	Davis Highlands Tundra
deccan-thorn-scrub-forests	Deccan Thorn Scrub Forests
djibouti-xeric-shrublands	Djibouti Xeric Shrublands
drakensberg-escarpment-savanna-and-thicket	Drakensberg Escarpment Savanna and Thicket
drakensberg-grasslands	Drakensberg Grasslands
dronning-maud-land-tundra	Dronning Maud Land Tundra
dry-chaco	Dry Chaco
dry-miombo-woodlands	Dry Miombo Woodlands
east-afghan-montane-conifer-forests	East Afghan Montane Conifer Forests
east-african-halophytics	East African Halophytics
east-african-mangroves	East African Mangroves
east-african-montane-forests	East African Montane Forests
east-african-montane-moorlands	East African Montane Moorlands
east-antarctic-tundra	East Antarctic Tundra
east-arabian-fog-shrublands-and-sand-desert	East Arabian Fog Shrublands and Sand Desert
east-central-texas-savanna-woodland	East Central Texas Savanna-Woodland
east-deccan-dry-evergreen-forests	East Deccan Dry-Evergreen Forests
east-deccan-moist-deciduous-forests	East Deccan Moist Deciduous Forests
east-sahara-desert	East Sahara Desert
east-saharan-montane-xeric-woodlands	East Saharan Montane Xeric Woodlands
east-sudanian-savanna	East Sudanian Savanna
eastern-anatolian-montane-steppe	Eastern Anatolian Montane Steppe
eastern-arc-forests	Eastern Arc Forests
eastern-australia-mulga-shrublands	Eastern Australia Mulga Shrublands
eastern-australian-temperate-forests	Eastern Australian Temperate Forests
eastern-canadian-boreal-forests	Eastern Canadian Boreal Forests
eastern-canadian-shield-taiga	Eastern Canadian Shield Taiga
eastern-canadian-temperate-boreal-forest-transition	Eastern Canadian Temperate-Boreal Forest Transition
eastern-cascades-forests	Eastern Cascades Forests
eastern-congolian-swamp-forests	Eastern Congolian Swamp Forests
eastern-cordillera-real-montane-forests	Eastern Cordillera Real Montane Forests
eastern-gobi-desert-steppe	Eastern Gobi Desert Steppe
eastern-great-lakes-lowland-forests	Eastern Great Lakes Lowland Forests
eastern-guinean-forests	Eastern Guinean Forests
eastern-himalayan-alpine-shrub-and-meadows	Eastern Himalayan Alpine Shrub and Meadows
eastern-himalayan-broadleaf-forests	Eastern Himalayan Broadleaf Forests
eastern-himalayan-subalpine-conifer-forests	Eastern Himalayan Subalpine Conifer Forests
eastern-java-bali-rainforests	Eastern Java-Bali Rainforests
eastern-java-bali-montane-rainforests	Eastern Java–Bali Montane Rainforests
eastern-micronesia-tropical-moist-forests	Eastern Micronesia Tropical Moist Forests
eastern-panamanian-montane-forests	Eastern Panamanian Montane Forests
ecuadorian-dry-forests	Ecuadorian Dry Forests
edwards-plateau-savanna	Edwards Plateau Savanna
einasleigh-upland-savanna	Einasleigh Upland Savanna
elburz-range-forest-steppe	Elburz Range Forest Steppe
ellsworth-land-tundra	Ellsworth Land Tundra
ellsworth-mountains-tundra	Ellsworth Mountains Tundra
emin-valley-steppe	Emin Valley Steppe
enderby-land-tundra	Enderby Land Tundra
enriquillo-wetlands	Enriquillo Wetlands
eritrean-coastal-desert	Eritrean Coastal Desert
esperance-mallee	Esperance Mallee
espinal	Espinal
ethiopian-montane-forests	Ethiopian Montane Forests
ethiopian-montane-grasslands-and-woodlands	Ethiopian Montane Grasslands and Woodlands
ethiopian-montane-moorlands	Ethiopian Montane Moorlands
etosha-pan-halophytics	Etosha Pan Halophytics
everglades-flooded-grasslands	Everglades Flooded Grasslands
eyre-and-yorke-mallee	Eyre and Yorke Mallee
fernando-de-noronha-atol-das-rocas-moist-forests	Fernando De Noronha-Atol Das Rocas Moist Forests
fiji-tropical-dry-forests	Fiji Tropical Dry Forests
fiji-tropical-moist-forests	Fiji Tropical Moist Forests
fiordland-temperate-forests	Fiordland Temperate Forests
flinders-lofty-montane-woodlands	Flinders-Lofty Montane Woodlands
flint-hills-tallgrass-prairie	Flint Hills Tallgrass Prairie
fraser-plateau-and-basin-conifer-forests	Fraser Plateau and Basin Conifer Forests
fynbos-shrubland	Fynbos Shrubland
galapagos-islands-xeric-scrub	Galápagos Islands Xeric Scrub
gariep-karoo	Gariep Karoo
ghorat-hazarajat-alpine-meadow	Ghorat-Hazarajat Alpine Meadow
gibson-desert	Gibson Desert
gissaro-alai-open-woodlands	Gissaro-Alai Open Woodlands
gobi-lakes-valley-desert-steppe	Gobi Lakes Valley Desert Steppe
godavari-krishna-mangroves	Godavari-Krishna Mangroves
granitic-seychelles-forests	Granitic Seychelles Forests
great-basin-montane-forests	Great Basin Montane Forests
great-basin-shrub-steppe	Great Basin Shrub Steppe
great-lakes-basin-desert-steppe	Great Lakes Basin Desert Steppe
great-sandy-tanami-desert	Great Sandy-Tanami Desert
great-victoria-desert	Great Victoria Desert
greater-negros-panay-rainforests	Greater Negros-Panay Rainforests
guajira-barranquilla-xeric-scrub	Guajira-Barranquilla Xeric Scrub
guayaquil-flooded-grasslands	Guayaquil Flooded Grasslands
guianan-freshwater-swamp-forests	Guianan Freshwater Swamp Forests
guianan-highlands-moist-forests	Guianan Highlands Moist Forests
guianan-lowland-moist-forests	Guianan Lowland Moist Forests
guianan-piedmont-moist-forests	Guianan Piedmont Moist Forests
guianan-savanna	Guianan Savanna
guinean-forest-savanna	Guinean Forest-Savanna
guinean-mangroves	Guinean Mangroves
guinean-montane-forests	Guinean Montane Forests
guizhou-plateau-broadleaf-and-mixed-forests	Guizhou Plateau Broadleaf and Mixed Forests
gulf-of-california-xeric-scrub	Gulf of California Xeric Scrub
gulf-of-st-lawrence-lowland-forests	Gulf of St. Lawrence Lowland Forests
gurupa-varzea	Gurupa Várzea
haida-gwaii-conifer-forests	Haida Gwaii Conifer Forests
hainan-island-monsoon-rainforests	Hainan Island Monsoon Rainforests
halmahera-rainforests	Halmahera Rainforests
hampton-mallee-and-woodlands	Hampton Mallee and Woodlands
hawaii-tropical-dry-forests	Hawai'I Tropical Dry Forests
hawaii-tropical-low-shrublands	Hawai'I Tropical Low Shrublands
hawaii-tropical-moist-forests	Hawai'I Tropical Moist Forests
hawaii-tropical-high-shrublands	Hawai'i Tropical High Shrublands
helanshan-montane-conifer-forests	Helanshan Montane Conifer Forests
hengduan-mountains-subalpine-conifer-forests	Hengduan Mountains Subalpine Conifer Forests
high-monte	High Monte
highveld-grasslands	Highveld Grasslands
himalayan-subtropical-broadleaf-forests	Himalayan Subtropical Broadleaf Forests
himalayan-subtropical-pine-forests	Himalayan Subtropical Pine Forests
hindu-kush-alpine-meadow	Hindu Kush Alpine Meadow
hispaniolan-dry-forests	Hispaniolan Dry Forests
hispaniolan-moist-forests	Hispaniolan Moist Forests
hispaniolan-pine-forests	Hispaniolan Pine Forests
hobyo-grasslands-and-shrublands	Hobyo Grasslands and Shrublands
hokkaido-deciduous-forests	Hokkaido Deciduous Forests
hokkaido-montane-conifer-forests	Hokkaido Montane Conifer Forests
honshu-alpine-conifer-forests	Honshu Alpine Conifer Forests
horn-of-africa-xeric-bushlands	Horn of Africa Xeric Bushlands
huang-he-plain-mixed-forests	Huang He Plain Mixed Forests
humid-chaco	Humid Chaco
humid-pampas	Humid Pampas
huon-peninsula-montane-rainforests	Huon Peninsula Montane Rainforests
iberian-conifer-forests	Iberian Conifer Forests
iberian-sclerophyllous-and-semi-deciduous-forests	Iberian Sclerophyllous and Semi-Deciduous Forests
iceland-boreal-birch-forests-and-alpine-tundra	Iceland Boreal Birch Forests and Alpine Tundra
ile-europa-and-bassas-da-india-xeric-scrub	Ile Europa and Bassas Da India Xeric Scrub
illyrian-deciduous-forests	Illyrian Deciduous Forests
indochina-mangroves	Indochina Mangroves
indus-river-delta-arabian-sea-mangroves	Indus River Delta-Arabian Sea Mangroves
indus-valley-desert	Indus Valley Desert
inner-niger-delta-flooded-savanna	Inner Niger Delta Flooded Savanna
interior-alaska-yukon-alpine-tundra	Interior Alaska-Yukon Alpine Tundra
interior-alaska-yukon-lowland-taiga	Interior Alaska-Yukon Lowland Taiga
interior-plateau-us-hardwood-forests	Interior Plateau US Hardwood Forests
iquitos-varzea	Iquitos Várzea
irrawaddy-dry-forests	Irrawaddy Dry Forests
irrawaddy-freshwater-swamp-forests	Irrawaddy Freshwater Swamp Forests
irrawaddy-moist-deciduous-forests	Irrawaddy Moist Deciduous Forests
islas-revillagigedo-dry-forests	Islas Revillagigedo Dry Forests
isthmian-atlantic-moist-forests	Isthmian-Atlantic Moist Forests
isthmian-pacific-moist-forests	Isthmian-Pacific Moist Forests
italian-sclerophyllous-and-semi-deciduous-forests	Italian Sclerophyllous and Semi-Deciduous Forests
itigi-sumbu-thicket	Itigi-Sumbu Thicket
jalisco-dry-forests	Jalisco Dry Forests
jamaican-dry-forests	Jamaican Dry Forests
jamaican-moist-forests	Jamaican Moist Forests
japura-solimoes-negro-moist-forests	Japurá-Solimões-Negro Moist Forests
jarrah-karri-forest-and-shrublands	Jarrah-Karri Forest and Shrublands
jian-nan-subtropical-evergreen-forests	Jian Nan Subtropical Evergreen Forests
jos-plateau-forest-grassland	Jos Plateau Forest-Grassland
juan-fernandez-islands-temperate-forests	Juan Fernández Islands Temperate Forests
junggar-basin-semi-desert	Junggar Basin Semi-Desert
jurua-purus-moist-forests	Juruá-Purus Moist Forests
kalaallit-nunaat-arctic-steppe	Kalaallit Nunaat Arctic Steppe
kalaallit-nunaat-high-arctic-tundra	Kalaallit Nunaat High Arctic Tundra
kalahari-acacia-woodlands	Kalahari Acacia Woodlands
kalahari-xeric-savanna	Kalahari Xeric Savanna
kamchatka-taiga	Kamchatka Taiga
kamchatka-kurile-meadows-and-sparse-forests	Kamchatka-Kurile Meadows and Sparse Forests
kaokoveld-desert	Kaokoveld Desert
karakoram-west-tibetan-plateau-alpine-steppe	Karakoram-West Tibetan Plateau Alpine Steppe
kayah-karen-montane-rainforests	Kayah-Karen Montane Rainforests
kazakh-forest-steppe	Kazakh Forest Steppe
kazakh-semi-desert	Kazakh Semi-Desert
kazakh-steppe	Kazakh Steppe
kazakh-upland-steppe	Kazakh Upland Steppe
kermadec-islands-subtropical-moist-forests	Kermadec Islands Subtropical Moist Forests
khangai-mountains-alpine-meadow	Khangai Mountains Alpine Meadow
khangai-mountains-conifer-forests	Khangai Mountains Conifer Forests
khathiar-gir-dry-deciduous-forests	Khathiar-Gir Dry Deciduous Forests
kimberly-tropical-savanna	Kimberly Tropical Savanna
kinabalu-montane-alpine-meadows	Kinabalu Montane Alpine Meadows
klamath-siskiyou-forests	Klamath-Siskiyou Forests
knysna-amatole-montane-forests	Knysna-Amatole Montane Forests
kopet-dag-semi-desert	Kopet Dag Semi-Desert
kopet-dag-woodlands-and-forest-steppe	Kopet Dag Woodlands and Forest Steppe
kuh-rud-and-eastern-iran-montane-woodlands	Kuh Rud and Eastern Iran Montane Woodlands
kwazulu-natal-cape-coastal-forests	Kwazulu Natal-Cape Coastal Forests
la-costa-xeric-shrublands	La Costa Xeric Shrublands
lake-chad-flooded-savanna	Lake Chad Flooded Savanna
lara-falcon-dry-forests	Lara-Falcón Dry Forests
leeward-islands-moist-forests	Leeward Islands Moist Forests
lesser-antillean-dry-forests	Lesser Antillean Dry Forests
lesser-sundas-deciduous-forests	Lesser Sundas Deciduous Forests
limpopo-lowveld	Limpopo Lowveld
llanos	Llanos
lord-howe-island-subtropical-forests	Lord Howe Island Subtropical Forests
louisiade-archipelago-rainforests	Louisiade Archipelago Rainforests
low-monte	Low Monte
lower-gangetic-plains-moist-deciduous-forests	Lower Gangetic Plains Moist Deciduous Forests
luang-prabang-montane-rainforests	Luang Prabang Montane Rainforests
luzon-montane-rainforests	Luzon Montane Rainforests
luzon-rainforests	Luzon Rainforests
luzon-tropical-pine-forests	Luzon Tropical Pine Forests
madagascar-dry-deciduous-forests	Madagascar Dry Deciduous Forests
madagascar-ericoid-thickets	Madagascar Ericoid Thickets
madagascar-humid-forests	Madagascar Humid Forests
madagascar-mangroves	Madagascar Mangroves
madagascar-spiny-thickets	Madagascar Spiny Thickets
madagascar-subhumid-forests	Madagascar Subhumid Forests
madagascar-succulent-woodlands	Madagascar Succulent Woodlands
madeira-evergreen-forests	Madeira Evergreen Forests
madeira-tapajos-moist-forests	Madeira-Tapajós Moist Forests
magdalena-valley-dry-forests	Magdalena Valley Dry Forests
magdalena-valley-montane-forests	Magdalena Valley Montane Forests
magdalena-uraba-moist-forests	Magdalena-Urabá Moist Forests
magellanic-subpolar-forests	Magellanic Subpolar Forests
makgadikgadi-halophytics	Makgadikgadi Halophytics
malabar-coast-moist-forests	Malabar Coast Moist Forests
maldives-lakshadweep-chagos-archipelago-tropical-moist-forests	Maldives-Lakshadweep-Chagos Archipelago Tropical Moist Forests
malpelo-island-xeric-scrub	Malpelo Island Xeric Scrub
manchurian-mixed-forests	Manchurian Mixed Forests
mandara-plateau-woodlands	Mandara Plateau Woodlands
